"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"AL-PR","class","https://w3id.org/dpv/loc#AL-PR","Përmet District","Concept representing region Përmet District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-SH","class","https://w3id.org/dpv/loc#AL-SH","Shkodër District","Concept representing region Shkodër District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-SK","class","https://w3id.org/dpv/loc#AL-SK","Skrapar District","Concept representing region Skrapar District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-SR","class","https://w3id.org/dpv/loc#AL-SR","Sarandë","Concept representing region Sarandë in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-TE","class","https://w3id.org/dpv/loc#AL-TE","Tepelenë District","Concept representing region Tepelenë District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-TP","class","https://w3id.org/dpv/loc#AL-TP","Tropojë District","Concept representing region Tropojë District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM","class","https://w3id.org/dpv/loc#AM","Armenia","Concept representing Country of Armenia","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AM-AG","class","https://w3id.org/dpv/loc#AM-AG","Aragatsotn Province","Concept representing region Aragatsotn Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-AR","class","https://w3id.org/dpv/loc#AM-AR","Ararat Province","Concept representing region Ararat Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-AV","class","https://w3id.org/dpv/loc#AM-AV","Armavir Province","Concept representing region Armavir Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-ER","class","https://w3id.org/dpv/loc#AM-ER","Yerevan","Concept representing region Yerevan in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-GR","class","https://w3id.org/dpv/loc#AM-GR","Gegharkunik Province","Concept representing region Gegharkunik Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-KT","class","https://w3id.org/dpv/loc#AM-KT","Kotayk Province","Concept representing region Kotayk Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-LO","class","https://w3id.org/dpv/loc#AM-LO","Lori Province","Concept representing region Lori Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-SH","class","https://w3id.org/dpv/loc#AM-SH","Shirak Province","Concept representing region Shirak Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-SU","class","https://w3id.org/dpv/loc#AM-SU","Syunik Province","Concept representing region Syunik Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-TV","class","https://w3id.org/dpv/loc#AM-TV","Tavush Province","Concept representing region Tavush Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AM-VD","class","https://w3id.org/dpv/loc#AM-VD","Vayots Dzor Province","Concept representing region Vayots Dzor Province in country Armenia","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AM","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AO","class","https://w3id.org/dpv/loc#AO","Angola","Concept representing Country of Angola","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AO-BGO","class","https://w3id.org/dpv/loc#AO-BGO","Bengo Province","Concept representing region Bengo Province in country Angola","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AO","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AO-BGU","class","https://w3id.org/dpv/loc#AO-BGU","Benguela Province","Concept representing region Benguela Province in country Angola","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AO","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AO-BIE","class","https://w3id.org/dpv/loc#AO-BIE","Bié Province","Concept representing region Bié Province in country Angola","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AO","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AO-CAB","class","https://w3id.org/dpv/loc#AO-CAB","Cabinda","Concept representing region Cabinda in country Angola","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AO","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AO-CCU","class","https://w3id.org/dpv/loc#AO-CCU","Cuando Cubango Province","Concept representing region Cuando Cubango Province in country Angola","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AO","","2024-08-03","","loc","https://w3id.org/dpv/loc"
