"Term Concepts in DPV this extends dpv:DataSubjectRight ","Label ","Description Data Subject Right ","ParentTerm dpv:Concept ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"A45-FreedomOfMovementAndResidence","A45 Freedom Of Movement And Residence","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-11","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A46-DiplomaticConsularProtection","A46 Diplomatic Consular Protection","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-12","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"T6-Justice","T6 Justice","","rights-eu:EUFundamentalRights","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-13","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A47-RightToEffectiveRemedyFairTrial","A47 Right To Effective Remedy Fair Trial","","rights-eu:T6-Justice,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-14","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A48-PresumptionOfInnocenceRightOfDefence","A48 Presumption Of Innocence Right Of Defence","","rights-eu:T6-Justice,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A49-PrinciplesOfLegalityProportionalityCriminalOffencesPenalties","A49 Principles Of Legality Proportionality Criminal Offences Penalties","","rights-eu:T6-Justice,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-16","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A50-RightNotBeTriedPunishedTwiceForSameCriminalOffence","A50 Right Not Be Tried Punished Twice For Same Criminal Offence","","rights-eu:T6-Justice,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-17","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"T7-InterpretationAndApplication","T7 Interpretation And Application","","rights-eu:EUFundamentalRights","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A51-FieldOfApplication","A51 Field Of Application","","rights-eu:T7-InterpretationAndApplication,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A52-ScopeInterpretationOfRightsPrinciples","A52 Scope Interpretation Of Rights Principles","","rights-eu:T7-InterpretationAndApplication,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-20","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A53-LevelOfProtection","A53 Level Of Protection","","rights-eu:T7-InterpretationAndApplication,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-21","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A54-ProhibitionOfAbuseOfRights","A54 Prohibition Of Abuse Of Rights","","rights-eu:T7-InterpretationAndApplication,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
